Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,666.559998,668.250000,661.400024,666.020020,666.020020,1497200
2021-11-09,667.690002,669.659973,663.000000,667.919983,667.919983,1128000
2021-11-10,663.200012,665.809998,645.859985,647.500000,647.500000,2038200
2021-11-11,649.609985,652.570007,642.099976,643.169983,643.169983,1271100
2021-11-12,649.010010,658.469971,647.159973,657.599976,657.599976,1286500
2021-11-15,658.369995,663.669983,655.190002,659.729980,659.729980,1077600
2021-11-16,659.140015,673.739990,658.989990,671.030029,671.030029,1422000
2021-11-17,671.760010,672.739990,662.840027,670.669983,670.669983,1221900
2021-11-18,670.619995,676.549988,665.080017,670.960022,670.960022,1493800
2021-11-19,681.260010,699.500000,678.909973,688.369995,688.369995,3090900
2021-11-22,696.280029,699.539978,672.659973,673.570007,673.570007,2284700
2021-11-23,662.700012,667.570007,648.609985,665.159973,665.159973,2502800
2021-11-24,655.830017,668.869995,647.140015,668.320007,668.320007,2426800
2021-11-26,670.250000,684.000000,659.679993,662.099976,662.099976,2204000
2021-11-29,668.000000,691.359985,665.770020,687.489990,687.489990,2728800
2021-11-30,687.219971,694.890015,667.830017,669.849976,669.849976,4703600
2021-12-01,676.000000,678.780029,656.280029,657.409973,657.409973,2831800
2021-12-02,655.950012,674.849976,653.619995,671.880005,671.880005,2675400
2021-12-03,658.099976,662.090027,604.299988,616.530029,616.530029,6741800
2021-12-06,617.469971,625.900024,605.729980,622.039978,622.039978,3170000
2021-12-07,644.190002,655.219971,640.049988,649.960022,649.960022,3943500
2021-12-08,647.299988,654.650024,641.609985,653.099976,653.099976,2416200
2021-12-09,650.919983,655.719971,630.880005,632.570007,632.570007,2550700
2021-12-10,638.130005,654.969971,635.099976,654.450012,654.450012,2873000
2021-12-13,652.770020,675.210022,650.979980,658.299988,658.299988,3829400
2021-12-14,635.359985,636.000000,599.099976,614.859985,614.859985,5934200
2021-12-15,615.960022,631.250000,604.619995,630.330017,630.330017,4288800
2021-12-16,578.400024,591.580017,556.150024,566.090027,566.090027,10961200
2021-12-17,566.090027,566.989990,545.140015,556.640015,556.640015,7999200
2021-12-20,545.609985,557.270020,543.500000,549.770020,549.770020,3441100
2021-12-21,550.909973,559.890015,538.049988,557.520020,557.520020,4104700
2021-12-22,560.299988,564.919983,552.239990,563.979980,563.979980,4526200
2021-12-23,568.960022,572.570007,566.159973,569.619995,569.619995,2147700
2021-12-27,575.039978,580.880005,572.090027,577.679993,577.679993,1980100
2021-12-28,582.840027,582.880005,568.349976,569.359985,569.359985,2107800
2021-12-29,573.330017,576.960022,562.780029,569.289978,569.289978,2484200
2021-12-30,570.570007,578.989990,566.039978,570.530029,570.530029,1564600
2021-12-31,570.000000,570.169983,565.070007,567.059998,567.059998,1581400
2022-01-03,566.650024,575.000000,553.270020,564.369995,564.369995,2862700
2022-01-04,563.900024,564.299988,541.309998,554.000000,554.000000,4344800
2022-01-05,535.000000,538.750000,514.000000,514.429993,514.429993,7394800
2022-01-06,510.000000,526.309998,508.200012,514.119995,514.119995,3913600
2022-01-07,513.659973,520.419983,504.000000,510.700012,510.700012,3605400
2022-01-10,500.000000,526.580017,497.010010,525.830017,525.830017,5429700
2022-01-11,525.549988,535.179993,520.979980,529.890015,529.890015,3422200
2022-01-12,533.090027,541.590027,529.280029,532.369995,532.369995,2901800
2022-01-13,532.219971,535.270020,516.320007,516.900024,516.900024,3406500
2022-01-14,514.489990,522.570007,511.269989,520.599976,520.599976,2659800
2022-01-18,510.390015,519.390015,504.980011,513.340027,513.340027,3461000
2022-01-19,516.479980,528.919983,515.299988,516.580017,516.580017,2985900
2022-01-20,522.380005,532.030029,509.640015,510.850006,510.850006,3208100
2022-01-21,508.500000,513.859985,499.269989,499.910004,499.910004,4276100
2022-01-24,491.070007,520.429993,483.309998,519.659973,519.659973,7538000
2022-01-25,505.510010,514.260010,500.010010,502.720001,502.720001,4051500
2022-01-26,514.000000,520.489990,494.220001,500.809998,500.809998,4449500
2022-01-27,508.940002,513.229980,485.619995,493.049988,493.049988,5865400
2022-01-28,494.089996,519.000000,480.619995,518.159973,518.159973,4339000
2022-01-31,518.979980,534.940002,514.390015,534.299988,534.299988,3995100
